[2015-06-15 11:50:56][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 11:50:56][12552][INFO]return successfully! | excute time:18(ms) SQL[SET NAMES latin1]
[2015-06-15 11:50:56][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '232', `coupon_id` = '', `coupon_name` = '3232', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 11:50:56][12552][INFO]return successfully! | excute time:12(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '232', `coupon_id` = '', `coupon_name` = '3232', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:21:35][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 14:21:35][12552][INFO]return successfully! | excute time:131(ms) SQL[SET NAMES latin1]
[2015-06-15 14:21:35][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '', `coupon_id` = '', `coupon_name` = '', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:21:36][12552][INFO]return successfully! | excute time:266(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '', `coupon_id` = '', `coupon_name` = '', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:27:28][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 14:27:28][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 14:27:28][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '454', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:27:28][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '454', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:34:50][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 14:34:50][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 14:34:50][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '454', `coupon_id` = '44', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:34:50][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '454', `coupon_id` = '44', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:35:47][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 14:35:47][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 14:35:47][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '6', `coupon_id` = '6', `coupon_name` = '6', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:35:47][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '6', `coupon_id` = '6', `coupon_name` = '6', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:39:50][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 14:39:50][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 14:39:50][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '454', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:39:50][12552][INFO]return successfully! | excute time:1(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '454', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:52:26][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 14:52:26][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 14:52:26][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '454', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 14:52:26][12552][INFO]return successfully! | excute time:1(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '454', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:23:07][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:23:07][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:23:07][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '6', `coupon_id` = '6', `coupon_name` = '6', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:23:07][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '6', `coupon_id` = '6', `coupon_name` = '6', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:23:42][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:23:42][12552][INFO]return successfully! | excute time:2(ms) SQL[SET NAMES latin1]
