[2015-06-17 17:39:06][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 17:39:06][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 17:39:06][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 17:39:06][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 17:39:06][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '地铁', `coupon_id` = '2323', `coupon_name` = '34', `isvalid` = '1', `insertdate` = '2015-06-17 17:39:06', `updatedate` = '2015-06-17 17:39:06']
[2015-06-17 17:39:06][6484][INFO]return successfully! | excute time:29(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '地铁', `coupon_id` = '2323', `coupon_name` = '34', `isvalid` = '1', `insertdate` = '2015-06-17 17:39:06', `updatedate` = '2015-06-17 17:39:06']
[2015-06-17 18:14:45][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:14:45][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:14:45][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:14:45][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:16:02][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:16:02][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:16:02][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:16:02][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:17:48][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:17:48][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:17:48][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:17:48][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:27:03][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:27:03][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:27:03][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:27:03][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:27:41][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:27:41][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:27:41][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:27:41][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:29:07][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:29:07][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:29:07][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:29:07][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:29:09][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:29:09][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:29:09][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:29:09][6484][INFO]return successfully! | excute time:1(ms) SQL[set names utf8]
[2015-06-17 18:29:09][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:29:09][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:29:09][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:29:09][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:29:25][6484][INFO]return successfully! | SQL[SET NAMES latin1]
